TransactionRef,Swiftref,TradeType,TradeStatus,SettlementStatus,Quantity,Amount,ValueDate,TradeDate,Open Quantity,Open Amount,Security ISIN,Balance_Pool,Trade Type (Buy/Sell),Department
500001,CP500001A1,PRINCIPLE,NEW,SETTLED,100000,150000,22-Jul,20-Jul,100000,150000,US000001,700001001,Buy,A
500002,CP500002A2,PRINCIPLE,NEW,SETTLED,120000,180000,22-Jul,20-Jul,120000,180000,US000002,700001002,Buy,B
500003,CP500003A3,PRINCIPLE,NEW,SETTLED,90000,135000,21-Jul,19-Jul,90000,135000,US000003,700001003,Sell,C
500004,CP500004A4,PRINCIPLE,NEW,SETTLED,110000,165000,22-Jul,20-Jul,110000,165000,EU000004,700001004,Buy,A
500005,CP500005A5,PRINCIPLE,NEW,SETTLED,80000,120000,21-Jul,19-Jul,80000,120000,EU000005,700001005,Sell,B
500006,CP500006A6,PRINCIPLE,NEW,SETTLED,95000,142500,22-Jul,20-Jul,95000,142500,IN000006,700001006,Buy,C
500007,CP500007A7,PRINCIPLE,NEW,SETTLED,70000,105000,21-Jul,19-Jul,70000,105000,IN000007,700001007,Sell,A
500008,CP500008A8,PRINCIPLE,NEW,SETTLED,60000,90000,22-Jul,20-Jul,60000,90000,US000008,700001008,Buy,B
500009,CP500009A9,PRINCIPLE,NEW,SETTLED,130000,195000,23-Jul,21-Jul,130000,195000,US000009,700001009,Sell,C
500010,CP500010B1,PRINCIPLE,NEW,SETTLED,125000,187500,23-Jul,21-Jul,125000,187500,EU000010,700001010,Buy,A
500011,CP500011B2,PRINCIPLE,NEW,SETTLED,140000,210000,24-Jul,22-Jul,140000,210000,EU000011,700001011,Sell,B
500012,CP500012B3,PRINCIPLE,NEW,SETTLED,150000,225000,24-Jul,22-Jul,150000,225000,IN000012,700001012,Buy,C
500013,CP500013B4,PRINCIPLE,NEW,SETTLED,160000,240000,25-Jul,23-Jul,160000,240000,IN000013,700001013,Sell,A
500014,CP500014B5,PRINCIPLE,NEW,SETTLED,155000,232500,25-Jul,23-Jul,155000,232500,US000014,700001014,Buy,B
500015,CP500015B6,PRINCIPLE,NEW,SETTLED,145000,217500,26-Jul,24-Jul,145000,217500,US000015,700001015,Sell,C
500016,CP500016B7,PRINCIPLE,NEW,SETTLED,135000,202500,26-Jul,24-Jul,135000,202500,EU000016,700001016,Buy,A
500017,CP500017B8,PRINCIPLE,NEW,SETTLED,50000,75000,22-Jul,20-Jul,50000,75000,EU000017,700001017,Sell,B
500018,CP500018B9,PRINCIPLE,NEW,SETTLED,52000,78000,22-Jul,20-Jul,52000,78000,IN000018,700001018,Buy,C
500019,CP500019C1,PRINCIPLE,NEW,SETTLED,54000,81000,21-Jul,19-Jul,54000,81000,IN000019,700001019,Sell,A
500020,CP500020C2,PRINCIPLE,NEW,SETTLED,56000,84000,21-Jul,19-Jul,56000,84000,US000020,700001020,Buy,B
500021,CP500021C3,PRINCIPLE,NEW,SETTLED,200000,300000,22-Jul,20-Jul,200000,300000,US000021,700001021,Sell,C
500022,CP500022C4,PRINCIPLE,NEW,SETTLED,220000,330000,22-Jul,20-Jul,220000,330000,EU000022,700001022,Buy,A
500023,CP500023C5,PRINCIPLE,NEW,SETTLED,240000,360000,23-Jul,21-Jul,240000,360000,EU000023,700001023,Sell,B
500024,CP500024C6,PRINCIPLE,NEW,SETTLED,260000,390000,23-Jul,21-Jul,260000,390000,IN000024,700001024,Buy,C
500025,CP500025C7,PRINCIPLE,NEW,SETTLED,75000,112500,24-Jul,22-Jul,75000,112500,IN000025,700001025,Sell,A
500026,CP500026C8,PRINCIPLE,NEW,SETTLED,85000,127500,24-Jul,22-Jul,85000,127500,US000026,700001026,Buy,B
500027,CP500027C9,PRINCIPLE,NEW,SETTLED,95000,142500,25-Jul,23-Jul,95000,142500,US000027,700001027,Sell,C
500028,CP500028D1,PRINCIPLE,NEW,SETTLED,65000,97500,25-Jul,23-Jul,65000,97500,EU000028,700001028,Buy,A
500029,CP500029D2,PRINCIPLE,NEW,SETTLED,105000,157500,26-Jul,24-Jul,105000,157500,EU000029,700001029,Sell,B
500030,CP500030D3,PRINCIPLE,NEW,SETTLED,115000,172500,26-Jul,24-Jul,115000,172500,IN000030,700001030,Buy,C
500031,CP500031D4,PRINCIPLE,NEW,SETTLED,125000,187500,22-Jul,20-Jul,125000,187500,IN000031,700001031,Sell,A
500032,CP500032D5,PRINCIPLE,NEW,SETTLED,135000,202500,22-Jul,20-Jul,135000,202500,US000032,700001032,Buy,B
500033,CP500033D6,PRINCIPLE,NEW,SETTLED,145000,217500,21-Jul,19-Jul,145000,217500,US000033,700001033,Sell,C
500034,CP500034D7,PRINCIPLE,NEW,SETTLED,155000,232500,21-Jul,19-Jul,155000,232500,EU000034,700001034,Buy,A
500035,CP500035D8,PRINCIPLE,NEW,SETTLED,165000,247500,22-Jul,20-Jul,165000,247500,EU000035,700001035,Sell,B
500036,CP500036D9,PRINCIPLE,NEW,SETTLED,175000,262500,22-Jul,20-Jul,175000,262500,IN000036,700001036,Buy,C
500037,CP500037E1,PRINCIPLE,NEW,SETTLED,185000,277500,23-Jul,21-Jul,185000,277500,IN000037,700001037,Sell,A
500038,CP500038E2,PRINCIPLE,NEW,SETTLED,195000,292500,23-Jul,21-Jul,195000,292500,US000038,700001038,Buy,B
500039,CP500039E3,PRINCIPLE,NEW,SETTLED,205000,307500,24-Jul,22-Jul,205000,307500,US000039,700001039,Sell,C
500040,CP500040E4,PRINCIPLE,NEW,SETTLED,215000,322500,24-Jul,22-Jul,215000,322500,EU000040,700001040,Buy,A
500041,CP500041E5,PRINCIPLE,NEW,SETTLED,225000,337500,25-Jul,23-Jul,225000,337500,EU000041,700001041,Sell,B
500042,CP500042E6,PRINCIPLE,NEW,SETTLED,235000,352500,25-Jul,23-Jul,235000,352500,IN000042,700001042,Buy,C
500043,CP500043E7,PRINCIPLE,NEW,SETTLED,245000,367500,26-Jul,24-Jul,245000,367500,IN000043,700001043,Sell,A
500044,CP500044E8,PRINCIPLE,NEW,SETTLED,255000,382500,26-Jul,24-Jul,255000,382500,US000044,700001044,Buy,B
500045,CP500045E9,PRINCIPLE,NEW,SETTLED,265000,397500,22-Jul,20-Jul,265000,397500,US000045,700001045,Sell,C
500046,CP500046F1,PRINCIPLE,NEW,SETTLED,275000,412500,22-Jul,20-Jul,275000,412500,EU000046,700001046,Buy,A
500047,CP500047F2,PRINCIPLE,NEW,SETTLED,285000,427500,21-Jul,19-Jul,285000,427500,EU000047,700001047,Sell,B
500048,CP500048F3,PRINCIPLE,NEW,SETTLED,295000,442500,21-Jul,19-Jul,295000,442500,IN000048,700001048,Buy,C
500049,CP500049F4,PRINCIPLE,NEW,SETTLED,305000,457500,22-Jul,20-Jul,305000,457500,IN000049,700001049,Sell,A
500050,CP500050F5,PRINCIPLE,NEW,SETTLED,315000,472500,22-Jul,20-Jul,315000,472500,US000050,700001050,Buy,B
500051,CP500051F6,PRINCIPLE,NEW,SETTLED,101000,151500,23-Jul,21-Jul,101000,151500,US000051,700001051,Sell,C
500052,CP500052F7,PRINCIPLE,NEW,SETTLED,102000,153000,23-Jul,21-Jul,102000,153000,EU000052,700001052,Buy,A
500053,CP500053F8,PRINCIPLE,NEW,SETTLED,103000,154500,24-Jul,22-Jul,103000,154500,EU000053,700001053,Sell,B
500054,CP500054F9,PRINCIPLE,NEW,SETTLED,104000,156000,24-Jul,22-Jul,104000,156000,IN000054,700001054,Buy,C
500055,CP500055G1,PRINCIPLE,NEW,SETTLED,105000,157500,25-Jul,23-Jul,105000,157500,IN000055,700001055,Sell,A
500056,CP500056G2,PRINCIPLE,NEW,SETTLED,106000,159000,25-Jul,23-Jul,106000,159000,US000056,700001056,Buy,B
500057,CP500057G3,PRINCIPLE,NEW,SETTLED,107000,160500,26-Jul,24-Jul,107000,160500,US000057,700001057,Sell,C
500058,CP500058G4,PRINCIPLE,NEW,SETTLED,108000,162000,26-Jul,24-Jul,108000,162000,EU000058,700001058,Buy,A
500059,CP500059G5,PRINCIPLE,NEW,SETTLED,109000,163500,22-Jul,20-Jul,109000,163500,EU000059,700001059,Sell,B
500060,CP500060G6,PRINCIPLE,NEW,SETTLED,110000,165000,22-Jul,20-Jul,110000,165000,IN000060,700001060,Buy,C
500061,CP500061G7,PRINCIPLE,NEW,SETTLED,111000,166500,21-Jul,19-Jul,111000,166500,IN000061,700001061,Sell,A
500062,CP500062G8,PRINCIPLE,NEW,SETTLED,112000,168000,21-Jul,19-Jul,112000,168000,US000062,700001062,Buy,B
500063,CP500063G9,PRINCIPLE,NEW,SETTLED,113000,169500,22-Jul,20-Jul,113000,169500,US000063,700001063,Sell,C
500064,CP500064H1,PRINCIPLE,NEW,SETTLED,114000,171000,22-Jul,20-Jul,114000,171000,EU000064,700001064,Buy,A
500065,CP500065H2,PRINCIPLE,NEW,SETTLED,115000,172500,23-Jul,21-Jul,115000,172500,EU000065,700001065,Sell,B
500066,CP500066H3,PRINCIPLE,NEW,SETTLED,116000,174000,23-Jul,21-Jul,116000,174000,IN000066,700001066,Buy,C
500067,CP500067H4,PRINCIPLE,NEW,SETTLED,117000,175500,24-Jul,22-Jul,117000,175500,IN000067,700001067,Sell,A
500068,CP500068H5,PRINCIPLE,NEW,SETTLED,118000,177000,24-Jul,22-Jul,118000,177000,US000068,700001068,Buy,B
500069,CP500069H6,PRINCIPLE,NEW,SETTLED,119000,178500,25-Jul,23-Jul,119000,178500,US000069,700001069,Sell,C
500070,CP500070H7,PRINCIPLE,NEW,SETTLED,120000,180000,25-Jul,23-Jul,120000,180000,EU000070,700001070,Buy,A
500071,CP500071H8,PRINCIPLE,NEW,SETTLED,121000,181500,26-Jul,24-Jul,121000,181500,EU000071,700001071,Sell,B
500072,CP500072H9,PRINCIPLE,NEW,SETTLED,122000,183000,26-Jul,24-Jul,122000,183000,IN000072,700001072,Buy,C
500073,CP500073I1,PRINCIPLE,NEW,SETTLED,123000,184500,22-Jul,20-Jul,123000,184500,IN000073,700001073,Sell,A
500074,CP500074I2,PRINCIPLE,NEW,SETTLED,124000,186000,22-Jul,20-Jul,124000,186000,US000074,700001074,Buy,B
500075,CP500075I3,PRINCIPLE,NEW,SETTLED,125000,187500,21-Jul,19-Jul,125000,187500,US000075,700001075,Sell,C
500076,CP500076I4,PRINCIPLE,NEW,SETTLED,126000,189000,21-Jul,19-Jul,126000,189000,EU000076,700001076,Buy,A
500077,CP500077I5,PRINCIPLE,NEW,SETTLED,127000,190500,22-Jul,20-Jul,127000,190500,EU000077,700001077,Sell,B
