TransactionRef,Swiftref,Quantity,Settled Quantity,Amount,Settled Amount,Settlement State,ManualSettlement,Balance_Pool, Security ISIN,Value_Date
250901,AP6981789Q3,159789,159789,282725,282725,SETTLED,N,442494697,US000089573,22-Jul
62125,AP8206662Q2,85091,85091,197547,197547,,N,234842355,US000081466,22-Jul
231092,AP5523132Q4,311334,311334,312641,312641,SETTLED,Y,903707764,US000078680,21-Jul
341791,AP6570624Q4,46977,46977,151362,151362,SETTLED,N,872162908,IN000080551,22-Jul
62080,AP8075901Q5,1729,1729,2013,2013,SETTLED,N,765758787,IN000080551,22-Jul
225450,AP4562898Q3,48754,48754,15138,15138,SETTLED,N,476543287,IN000080551,21-Jul
229844,AP5802089Q5,76649,76649,20136,20136,SETTLED,N,476432678,IN000080551,22-Jul
80308,AP6595228Q1,257057,233057,245254,222254,PARTIALLY SETTLED,N,861127012,EU000072011,22-Jul
500001,AP900001A1,100000,100000,150000,150000,SETTLED,N,700001001,US900001,22-Jul
500002,AP900002A2,120000,120000,180000,180000,SETTLED,N,700001002,US900002,22-Jul
500003,AP900003A3,90000,90000,135000,135000,SETTLED,N,700001003,US900003,22-Jul
500004,AP900004A4,110000,110000,165000,165000,SETTLED,N,700001004,US900004,22-Jul
500005,AP900005B1,80000,80000,120000,120000,SETTLED,N,700002001,EU900005,21-Jul
500006,AP900006B2,95000,95000,142500,142500,SETTLED,N,700002002,EU900006,21-Jul
500007,AP900007B3,70000,70000,105000,105000,SETTLED,N,700002003,EU900007,21-Jul
500008,AP900008B4,60000,60000,90000,90000,SETTLED,N,700002004,EU900008,21-Jul
500009,AP900009C1,130000,0,195000,0,,N,700003001,US900009,23-Jul
500010,AP900010C2,125000,0,187500,0,,N,700003002,US900010,23-Jul
500011,AP900011C3,140000,0,210000,0,,N,700003003,US900011,23-Jul
500012,AP900012C4,150000,0,225000,0,,N,700003004,US900012,23-Jul
500013,AP900013D1,160000,160000,240000,240000,SETTLED,Y,700004001,US900013,24-Jul
500014,AP900014D2,155000,155000,232500,232500,SETTLED,Y,700004002,US900014,24-Jul
500015,AP900015D3,145000,145000,217500,217500,SETTLED,Y,700004003,US900015,24-Jul
500016,AP900016D4,135000,135000,202500,202500,SETTLED,Y,700004004,US900016,24-Jul
500017,AP900017E1,50000,50000,75000,75000,SETTLED,N,700005001,IN900017,24-Jul
500018,AP900018E2,52000,52000,78000,78000,SETTLED,N,700005002,IN900018,24-Jul
500019,AP900019E3,54000,54000,81000,81000,SETTLED,N,700005003,IN900019,24-Jul
500020,AP900020E4,56000,56000,84000,84000,SETTLED,N,700005004,IN900020,24-Jul
500021,AP900021F1,200000,120000,300000,180000,PARTIALLY SETTLED,N,700006001,EU900021,25-Jul
500022,AP900022F2,220000,130000,330000,195000,PARTIALLY SETTLED,N,700006002,EU900022,25-Jul
500023,AP900023F3,240000,140000,360000,210000,PARTIALLY SETTLED,N,700006003,EU900023,25-Jul
500024,AP900024F4,260000,150000,390000,225000,PARTIALLY SETTLED,N,700006004,EU900024,25-Jul
500025,AP900025M1,75000,75000,112500,112500,SETTLED,N,700009001,US900025,26-Jul
500026,AP900026M2,85000,85000,127500,127500,SETTLED,N,700009002,US900026,26-Jul
500027,AP900027M3,95000,95000,142500,142500,SETTLED,N,700009003,US900027,26-Jul
500028,AP900028M4,65000,65000,97500,97500,SETTLED,N,700009004,US900028,26-Jul
500029,AP900029M5,105000,105000,157500,157500,SETTLED,N,700009005,US900029,26-Jul
